ID,Description,Entry_ID,Comment
SN000165,share,LX000081,
SN000166,without,LX000082,
SN000167,be without,beelo,
SN000168,cover,LX000083,
SN000169,silence,LX000083,
SN000170,keep quiet,LX000084,
SN000171,son; boy,beetto,
SN000172,child,beetto,
SN000173,boy,beetto,
SN000174,daughter; girl,beetto,
SN000175,girl,beetto,
SN000176,be very afraid,LX000085,
SN000177,thunder; rage,LX000086,
SN000178,thunder,LX000087,
SN000179,yesterday,bero,
SN000180,the day before yesterday,LX000088,
SN000181,dried porridge of barley,besso,
SN000182,field flower,LX000089,species
SN000183,startle (tr.),LX000090,
SN000184,be surprised/startled/afraid,LX000091,
SN000185,scratch with claws,LX000092,
SN000186,scratch oneself,LX000093,
SN000187,be direct; be proper/in order,biddi_yi,
SN000188,make properly,LX000094,
SN000189,long ago,LX000095,
SN000190,in old times,LX000096,
SN000191,fear; suspect,LX000097,
SN000192,certain colour pattern of cattle,bifa,
SN000193,beautiful,biifado,
SN000194,be beautiful,biifi,
SN000195,adapt; adorn; make suitable,biifisi,
SN000196,administrator; boss,biilo,
SN000197,morning,biitto,
SN000198,small bird,LX000098,species
SN000199,compare,bikki,
SN000200,tighten a rope; reassure,LX000099,
SN000201,wedge,bila,
SN000202,bell,bilbila,
SN000203,flash of light; earring for man who has killed smbdy,LX000100,
SN000204,butterfly,LX000101,
SN000205,knife,billaba,
SN000206,scatter (itr.); spread (itr.),billalli,
SN000207,scatter (tr.),billallisi,
SN000208,dodge; jump around,billi,
SN000209,subdivision of the Hollo clan,LX000102,
SN000210,very good,LX000103,
SN000211,active people,LX000104,
SN000212,3. period of luba,LX000105,
SN000213,office,biro,
SN000214,rainy season of Sept. - Oct.,birra,
SN000215,Ethiopian dollars,birra,"Currency unit of Ethiopia, consists of 100 sante (santime)"
SN000216,silversmith,LX000106,
SN000217,silver; Ethiopian dollar,birre,"Currency unit of Ethiopia, consists of 100 sante (santime)"
SN000218,Ethiopian dollar,birre,
SN000219,stop,birri,
SN000220,carpenter,LX000107,makes home furniture
SN000221,top of tree; top of mountain,LX000108,
SN000222,dagger; sword,LX000109,
SN000223,devil,LX000110,
SN000224,body,biso,
SN000225,bad number; bad thing,bita,
SN000226,scratch oneself,LX000111,e.g. as part of the mourning ceremony
SN000227,"raw waasa, stone hard, wrapped up for the road",LX000112,
SN000228,white speck in the forehead of cow,LX000113,
SN000229,exclude from society,LX000114,
SN000230,rot; stink,bobi,
SN000231,stink,bobi,
SN000232,double bladed spear; clitoris,bode,
SN000233,creep,LX000115,
SN000234,excommunicate,bohi,
SN000235,skin-clothes,boke,Below waist. For great occasions. For rich (women)
SN000236,club,bokko,for beating
SN000237,white speck in the forehead of cattle,LX000116,
SN000238,excommunication,bonke,
SN000239,few; a little,boode,
SN000240,spoil; make dirty/muddy,LX000117,
SN000241,"shout comfortingly to afraid person, following him part of the road",LX000118,
SN000242,woman´s name,boohaare,
SN000243,converse politely; amuse,boohaari,SAED
SN000244,man´s name,boohaaro,
SN000245,conversation; comfort,LX000119,
SN000246,remnant of honeywine; ferment of honey,booka,
SN000247,white speck on forehead of cattle,LX000120,
SN000248,arrogance,boona,
SN000249,arrogant person,boonaleessa,
SN000250,abyss; big hole; hole in road,boono,
SN000251,hole,boono,
SN000252,blue ring,LX000121,for finger
SN000253,"take up angry, head-lowered position",boori,
SN000254,"positure of angry ox, head lowered",boorto,
SN000255,fire-place; immediate surrounding of the fire; living-room,boosallo,
SN000256,who will ask about him?,LX000122,lit. Who visits his fireplace?
SN000257,insurrection,booso,
SN000258,part; subdivision,booso,
SN000259,calves,bootta,
SN000260,calf,bootto,
SN000261,bush (species),LX000123,resembles lemon tree
SN000262,fruit of the bush with the same name,LX000123,It is hanged above the door to show that smallpox is in the house
SN000263,big thick stick,borda,
SN000265,slavery,LX000124,
SN000266,be a slave,LX000125,
SN000267,slave,LX000126,
SN000268,"bellow, crow",boroodi,"ox, cock"
SN000269,secretary,LX000127,
SN000270,engrave; draw a pattern; write,borreessi,
SN000271,write for oneself,LX000128,
SN000272,write,borress,
SN000273,be written,borressami,
SN000274,book,LX000129,
SN000275,mountain to the west of the road Abaca - Yirgalem,LX000130,
SN000276,writing; book,borro,
SN000277,a kind of game,borro,
SN000278,foreign cattle or people,LX000131,
SN000279,despise very much,LX000132,
SN000280,split wood; place where wood has been split,LX000133,Source: G
SN000281,carve tree or stone; split wood,LX000134,
SN000282,half,LX000135,of bread
SN000283,break,LX000136,a branch
SN000284,flame,bubano,
SN000285,strong wind,bubbe,
SN000286,blow,bubbisi,
SN000287,flame,bubi,
SN000288,evil eye; person with evil eye,budakko,
SN000289,bread,buddeena,
SN000290,custom,bude,
SN000291,right,bude,
SN000292,custom,budooma,
SN000293,raw food,LX000137,
SN000294,fragment of dust,LX000138,
SN000295,dove,bukkukkaama,
SN000296,dust,buko,
SN000297,pick up,LX000139,
SN000298,pick up,LX000140,grain
SN000299,mould,bulaasi,
SN000300,flour,bulle,
SN000301,male duiker,LX000141,
SN000302,female duiker,LX000142,
SN000303,Gurage cabbage,bulo,
SN000304,ashes,buluulo,
SN000305,coffee,buna,
SN000306,evil,LX000143,
SN000307,coffee-tree,LX000144,
SN000308,run very fast,LX000145,
SN000309,cause to leap for joy,LX000146,
SN000310,hammer,burrisa,
SN000311,long necklace,LX000147,
SN000312,name of woman,buse,
SN000313,bad,busha,
SN000314,clever person,busule,
SN000315,be clever,busuli,
SN000316,cleverness,busulle,
SN000317,evil,LX000148,
SN000318,bad,LX000148,
SN000319,be evil,LX000149,
SN000320,harm; cause to be evil; do unjustice against smbdy,LX000150,
SN000321,soil,LX000151,
SN000322,puppy,LX000152,
SN000323,break into small fragments,butukkisi,like flour
SN000324,"small pieces of food, tree etc.",butuko,
SN000325,poor people,LX000153,
SN000326,be poor,LX000154,
SN000327,poverty,LX000155,
SN000328,poor person,LX000156,
SN000329,horn,buuda,
SN000330,bellows,buufa,
SN000331,inner part of ensete root,LX000157,a ball of ca. 15 cm
SN000332,smear; anoint,buuri,
SN000333,butter,buuro,
SN000334,cough,buusa,
SN000335,bridge,buusa,
SN000336,boiled maize,LX000158,
SN000337,snake; viper,buute,
SN000338,see well from afar,LX000159,
SN000339,understand; investigate; prove,LX000159,
SN000340,investigate,LX000159,
SN000341,"waasa (q.v.), white, of excellent quality",LX000160,
SN000342,"come in crowds, looking like white waasa in their white clothes",LX000161,
SN000343,bread,daabbo,
SN000344,tree species,daadakko,
SN000345,melt (itr.),daadi,
SN000346,because; because of,daafira,
SN000347,reason; because,daafo,
SN000348,a tired person,LX000162,
SN000349,tired person,LX000163,
SN000350,become tired,daafuri,
SN000351,tiredness,daafuro,
SN000352,toil,daafuro,
SN000353,tire (tr.),daafursi,
SN000354,cause to be tired,daafursiisi,
SN000355,grind; swim,daahi,
SN000356,swim,daahi,
SN000357,grind; swim,daaki,
SN000358,swim,daaki,
SN000359,be tired,LX000164,
SN000360,cause to be tired,LX000165,
SN000361,cause to be tired,LX000166,
SN000362,bed,daallasa,
SN000363,Sidaama name of Yirgaalem,daalle,
SN000364,bed,daallosa,
SN000365,millstone,daamma,
SN000366,mill,daamma,
SN000367,bee,LX000167,
SN000368,bees,daammo,species that makes hives underground
SN000369,mill-house,daammu_mine,
SN000370,elephant,LX000168,
SN000371,"one who is dumb, unable to speak",LX000169,
SN000372,deed of injustice,LX000170,G
SN000373,condemn,LX000171,
SN000374,boundary between countries,daare,
SN000375,lowland of Sidaama,daarra,
SN000376,provisional hut; tent,daase,
SN000377,tent,daase,
SN000378,name of woman,daasse,
SN000379,place of offering to forefathers,LX000172,
SN000380,melt (tr.); smelt (tr.),LX000173,
SN000381,round object to place vessels on,LX000174,
SN000382,observe,LX000175,
SN000383,pomp and circumstance; spendid things,LX000176,
SN000384,baby who can walk,LX000177,
SN000385,be able to walk,LX000178,
SN000386,false witness; offence,dabaabano,
SN000387,horizontal supporters in roof,dabaayye,
SN000388,horizontal supporter in roof,LX000179,
SN000389,answer for oneself; comment,LX000180,
SN000390,reply,dabare,
SN000391,answer; return; repay debt,dabari,
SN000392,intersection of trunk and branch; cross; piece of wood to fasten ensete leaves on while scratching,dabe,
SN000393,board,dabe,
SN000394,be twisted,dabi,
SN000395,"stretch out a skin for drying, pinning it in many places",daddabi,
SN000396,trader,LX000181,
SN000397,be traded,daddalami,
SN000398,trade,daddali,
SN000399,split,daddari,the root of the inset-palm
SN000400,trade for oneself,LX000182,
SN000401,sorrow; grief,dadille,
SN000402,grieve,dadilli,
SN000403,cause sorrow,dadillisi,
SN000404,mat,dado,
SN000405,hole in cloth,LX000183,
SN000406,be torn; split (itr.),LX000184,cloth
SN000407,split,LX000184,
SN000408,start to speak (baby); sing,LX000185,lit: split oneself i.e. loosen the tongue ribbon
SN000409,chaff,daffa,
SN000410,grow up to 5-30 cm,daffi,plants
SN000411,people; world,daga,
SN000412,horizontal supporters in the roof,dagale,
SN000413,horizontal supporter in roof,LX000186,
SN000414,be under a spell,daggami,
SN000415,tree species,LX000187,large
SN000416,leopard,LX000188,
SN000417,happen gradually,dai,
SN000418,come,LX000189,
SN000419,one side of load on animal,dala,
SN000420,faint,dalagi,
SN000421,judge; forgive,dalli,
SN000422,trunk of tree; beam,damatte,
SN000423,wave,dambala,
SN000424,lose conscience,dammi,
SN000425,salary,damosa,
SN000426,headache,damuume,
SN000427,appearance,dana,
SN000428,hair,LX000190,
SN000429,be able to; can; could,LX000191,
SN000430,jump over; cross,dani,
SN000431,worm,danille,
SN000432,deaf and dumb,LX000192,about babies; add entry about cattle: danK- bend neck to slaughter
SN000433,deaf and dumb person,LX000193,
SN000434,deaf and dumb person,LX000194,
SN000435,boundary,danna,
SN000436,abundance,danna,
SN000437,fence,danna,
SN000438,decide; make a boundary,danni,
SN000439,danger; accident; ambush,dano,
SN000440,judge without having seen the crime,dano_wori,
SN000441,killed accidentally,LX000195,
SN000442,name of man,dansamo,
SN000443,put beyond,dansi,
SN000444,good; well,LX000196,
SN000445,well,LX000196,
SN000446,well,LX000197,
SN000447,woman´s name,LX000198,Meaning: goodness
SN000448,goodness,LX000199,
SN000449,good persons,LX000200,
SN000450,judge,LX000201,
SN000451,2. period of luba,daraara,
SN000452,blossom,daraari,
SN000453,flower(s),daraaro,
SN000454,mate; friend(s); equals in age,darabo,
SN000455,persecution,darama,
SN000456,flee; be in uproar,darami,
SN000457,peel (the false banana tree),LX000202,
SN000458,half,darate,
SN000459,white garment,darbata,
SN000460,place,darga,
SN000461,immediately,darganni,
SN000462,dawn; split (itr.),dari,
SN000463,crack,dari,
SN000464,swell up,LX000203,
SN000465,leaf,LX000204,
SN000466,leaves,daro,
SN000467,chase to flight,darsiis,
SN000468,persecution,darta,
SN000469,flight,darto,
SN000470,leaf,LX000205,of tree
SN000471,scrape; beat,dassi,the inset root with Keho
SN000472,scrape; grind,LX000206,the inset root with Keho
SN000473,a children's game,LX000207,
SN000474,worm; maggot,LX000208,
SN000476,belch,LX000210,
SN000477,belch,LX000211,
SN000478,teamwork with different people taking turns,dee,
SN000479,day in the Sidaama four-day week,deela,
SN000480,cause diarrhea,LX000212,
SN000481,no,LX000213,
SN000482,destroy,dei,
SN000483,be neglected; be forgotten,LX000214,
SN000484,forget,LX000214,
SN000485,forget; neglect,LX000215,
SN000486,not,LX000216,
SN000487,be covered,dibami,
SN000488,small drum,dibbe,
SN000489,cover; close; hide,dibi,
SN000490,be/become strong,diggi_yi,
SN000491,strengthen,LX000217,
SN000492,bees,diida,
SN000493,tear down; break,diigi,of construction; of commandment
SN000494,small pearls in necklace,diigo,
SN000495,wind; air; draught,diilallo,
SN000496,hole; depth,diime,in the riverbed
SN000497,enemy; enemies,diina,
SN000498,admire,diinaggaabi,
SN000499,matter,diinagge,
SN000500,enmity,diinooma,
SN000501,brown,diisa,
SN000502,bee,LX000218,
SN000503,buy or sell in the market,LX000219,
SN000504,market,dikko,
SN000505,day in the sidaama four-day week,dikko,
SN000506,meteor-stone; name of places where meteors have fallen,dilla,
SN000507,drink much alcohol; be drunk,dimbi,
SN000508,be drunk,dimbi,
SN000509,be amazed,LX000220,
SN000510,amaze,LX000220,
SN000511,potato,LX000221,
SN000512,appointment,LX000222,
SN000513,make an appointment,LX000223,
SN000514,be arranged in a line,dirami,
SN000515,align; arrange linearly,diri,
SN000516,fall headlong; stretch out sleeping,diriiri,
SN000517,low elevation; level; steps like in a staircase,dirima,
SN000518,year; age,diro,
SN000519,descend,dirri,
SN000520,draw,LX000224,water
SN000521,lower; hoist down; unload,dirrisi,
SN000522,descend,dirrisi,
SN000523,Do you agree?,LX000225,
SN000524,son of Habeela,dobbe,
SN000525,run,LX000226,
SN000526,cut repeatedly,doddoli,
SN000527,run,dodi,
SN000528,nomads; group of nomads and cattle on the move,doe,
SN000529,cheating; treachery,doga,
SN000530,be cheated,dogami,
SN000531,cheat,dogi,
SN000532,lead astray,dogisiisi,
SN000533,cut to a man´s height,dogorri,the ensete palm
SN000534,cut to a man´s height for oneself,LX000227,
SN000535,encircle; go round; wander,doi,of nomads
SN000536,surround,doissi,
SN000537,bring around from one place to another (cattle); twist the neck (hen),LX000228,
SN000538,"circular ""beam"" in the roof of a Sidaama house",LX000229,
SN000539,hew,doli,
SN000540,clear forest,doli,
SN000541,farmland in cleared forest,dolo,Cleared by fire or cutting the trees
SN000542,lion,LX000230,
SN000543,vulture,doobire,
SN000544,lose eyesight because of age; be unable to see clearly,doodi,
SN000545,prefer; choose in one's own interest,LX000231,
SN000546,travellers,doogaasine,
SN000547,traveller,LX000232,
SN000548,road; way,doogo,
SN000550,be elected,doorami,
SN000551,elect; choose,doori,
SN000552,forest,dubbo,
SN000553,skin clothes worn below waist,dudda,
SN000554,news-teller,LX000234,
SN000555,be told,dudubami,as news
SN000556,tell news,dudubi,
SN000557,news,dudubo,
SN000558,fry,LX000235,
SN000559,cheater,dugaalleessa,
SN000560,saboteur; sorcerer; hypocrite,LX000236,
SN000561,saboteur,LX000237,
SN000562,ambush; watch closely; defraud; hurt by sorcery,dugi,
SN000563,bow down,dugunuuni,
SN000564,bow one´s head,dugunuunsi,
SN000565,burden,duha,
SN000566,burden,duhaana,
SN000567,carrier,LX000238,
SN000569,cause to carry,duhisiisi,
SN000570,carry,duki,
SN000571,tent,dukkana,
SN000572,company,dukke,
SN000573,build the wall between bedroom and living-room,dukki,
SN000574,accompany,dukkisi,
SN000575,wall between living-room and bedroom,dukko,
SN000576,rottenness,dukukka,
SN000577,rot and smell badly,dukukki,
SN000578,wedding,LX000239,
SN000579,bridegroom,LX000240,lit. The one who carries for himself
SN000580,carry; obey,LX000241,
SN000581,marry,LX000241,archaic
SN000582,skin,duli,take off the hide
SN000583,pour out (tr),duni,
SN000584,slow person,dunka,to work etc.
SN000585,rich people,dureessa,
SN000586,be rich,LX000242,
SN000587,richness,durimma,
SN000588,prosper,LX000243,
SN000589,evil spirit,durriisa,"destroys corn, coffe"
SN000590,richness,durumma,
SN000591,egotism; neutrality,dussa,Source: O. About one who keeps quiet in discussion (T)
SN000592,kind person,LX000244,
SN000593,kind person,dusso_1,
SN000594,egoists,dusso_2,Source: O
SN000595,"ordinary, uneducated people",dusso_manna,
SN000596,bark,duti,dog
SN000597,accuser,LX000245,
SN000598,be accused,LX000246,
SN000599,accuse before court,LX000247,Source: M
SN000600,accuser(s),LX000248,
SN000601,barking,dutto,"G: distress, calamity"
SN000602,satisfaction,duuba,
SN000603,arrogant person; conceited person,duubaleessa,
SN000604,tree species,LX000249,
SN000605,be satisfied,duubi,
SN000606,be satisfied,duubi,
SN000607,trust,duubi,
SN000608,tanning-tool,LX000250,
SN000609,tan,duugi,
SN000610,behind,duukk,
SN000611,name of man,duukkamo,
SN000612,behind,duumbanni,
SN000613,red,duume,
SN000614,red items,duummaadda,
SN000615,be stored up,duunami,
SN000616,be accumulated,duunami,
SN000617,gather (tr); store,duuni,
SN000618,satisfy,LX000251,
SN000619,all; many,LX000252,
SN000620,all,LX000253,
SN000621,sunrise; daybreak,LX000254,
SN000622,deposit; accumulate for oneself,LX000255,
SN000623,thick,LX000256,
SN000624,be poured out,LX000257,
SN000625,pour out,LX000258,
SN000626,become thin,LX000259,
SN000627,friend(s),LX000260,
SN000628,friendship,LX000261,
SN000629,friendship,LX000261,
SN000630,become friends,LX000262,
SN000631,big,LX000263,
SN000632,strength,LX000264,
SN000633,strong,LX000265,
SN000634,be strong; dare,LX000266,
SN000635,strengthen,LX000267,
SN000636,coffee-pot,LX000268,
SN000637,inventory; property,LX000269,everything in the house
SN000638,property,LX000269,
SN000639,strong persons; grown-up people,LX000270,
SN000640,grown up people,LX000270,
SN000641,be startled; find excuses; be evasive; have premonitions,LX000271,
SN000642,be at a loss,LX000272,where to go
SN000643,taste foul,LX000273,
SN000644,stop cold; be startled,LX000273,
SN000645,begin (tr/itr),LX000274,
SN000646,talk nonsense,LX000275,
SN000647,bustle around,LX000276,
SN000648,you people!,LX000277,
SN000649,put an end to,LX000278,
SN000650,geography,LX000279,
SN000651,lash,LX000280,"long, for oxen"
SN000652,test,LX000281,
SN000653,test,LX000282,
SN000654,convince; tame,LX000283,
SN000655,be in control,LX000284,
SN000656,feast; celebration,LX000285,
SN000657,celebration,LX000285,
SN000658,be arranged (party),LX000286,
SN000659,make a feast,LX000287,
SN000660,possession; property,LX000288,
SN000662,law; custom,LX000289,
SN000663,custom,LX000289,
SN000664,steer,LX000290,
SN000665,taciturn; tolerant; gentle,LX000291,
SN000666,be humble,LX000292,
SN000667,humility,LX000293,
SN000668,direction; summit,LX000294,summit (G)
SN000669,in the direction of,LX000295,
SN000670,strengthen; rebuild; repair,LX000296,
SN000671,instruct; send a message,LX000297,
SN000672,send a message,LX000297,
SN000673,warn,LX000298,
SN000674,message,LX000299,
SN000675,sterile; barren,LX000300,about people
SN000676,people in their best years,LX000301,30-40 years
SN000677,woman who cannot sleep with men for some physical reason,LX000302,
SN000678,story; wonder; miracle,LX000303,
SN000679,be surprised,LX000304,
SN000680,tell a story,LX000305,
SN000681,cause to be distant,LX000306,
SN000682,illness; trouble,LX000307,
SN000683,illness,LX000308,
SN000684,be troubled,LX000309,
SN000685,trouble,LX000309,
SN000686,leper,LX000310,
SN000687,drink too much,LX000311,
SN000688,crack; burst; explode,LX000312,
SN000689,waist ornaments for children,LX000313,
SN000690,break,LX000314,fragile things
SN000691,witness,LX000315,
SN000692,take away the marrow of leaf,faafani,
SN000693,way; track,faala,
SN000694,trousers made of multicoloured skin of ox-calf,LX000316,worn by women
SN000695,direction; footprint,faana,
SN000696,torch; oil lamp,faanoose,
SN000697,purify; clean,faansi,
SN000698,servant,LX000317,
SN000699,female servant,faantitte,
SN000700,servants,faantoota,
SN000701,servants who work for salary,LX000318,
SN000702,work as a servant,LX000319,
SN000703,one who works for salary,LX000320,house servant; mercenary
SN000704,dance for unmarried,faaro,
SN000705,marriage dance,faaro,
SN000706,thresh,LX000321,
SN000707,harvest,LX000322,maize
SN000708,permit,LX000323,
SN000709,be distant,fafi,
SN000710,cause to be far away,fafisi,
SN000711,keep away,LX000324,
SN000712,far away,fafoba,
SN000713,turn away,LX000325,
SN000714,bicker; claim; interest,falami,"SAED: get compensation, be fattened. Add entry with active"
SN000715,key,LX000326,
SN000716,open; reveal,fani,
SN000717,reveal,fani,
SN000718,turn wholly around,LX000327,
SN000719,open,fano,
SN000720,rider; soldier on horseback,LX000328,
SN000721,judge,faradi,
SN000722,horse,LX000329,
SN000723,name of man,fareessa,
SN000724,pharisees,fariisaanto,
SN000725,pharisee,LX000330,
SN000726,direction; boundary between countries or farms,faro,
SN000727,opportunity,faro,
SN000728,be separated,farrami,
SN000729,separate (itr),farri,
SN000730,local beer,LX000331,
SN000731,witness,LX000332,
SN000732,witness,LX000333,
SN000733,witness; tell the truth,LX000334,
SN000734,kick,LX000335,
SN000735,Easter,fasik,
SN000736,be opened ajar,LX000336,
SN000737,temptation,fatana,
SN000738,break a branch from its trunk,LX000337,
SN000739,shake,LX000338,
SN000740,healthy person,fayyaaleessa,
SN000741,recover,fayyi,
SN000742,heal,fayyisi,
SN000743,well; saved (religious),fayyo,
SN000744,be opened for oneself,LX000339,
SN000745,open for oneself,LX000340,
SN000746,broom,LX000341,
SN000747,be ready,feeffati,
SN000748,polish; sweep; wipe dry,fei,
SN000749,Pharisees,ferisabe,
SN000750,letter,fidale,in the Amharic alphabet
SN000751,sweep for oneself,LX000342,
SN000752,hide one´s face as a sign of anger,fiile_hooli,
SN000753,chop; grind finely,fiili,
SN000754,finish,fiini,
SN000755,relatives; parents; (fig.) smallpox,LX000343,
SN000756,smallpox,LX000343,
SN000757,clan,LX000344,
SN000758,be related to each other,LX000345,
SN000759,poke one´s teeth,LX000346,
SN000760,toothpick,LX000347,
SN000761,be bent,filli_yi,e.g. because of hard labour
SN000762,cup,LX000348,made of a fruitshell or clay
SN000763,urinate; spread (tr); waste; spend (money) in vain,LX000349,
SN000764,spend (money) in vain,LX000349,
SN000765,splinter,LX000350,
SN000766,New Year,LX000351,
SN000767,writhe (tr),LX000352,
SN000768,writhe,fittifati,
SN000769,mystery; secret,LX000353,
SN000770,secret,LX000353,
SN000771,bellow; snort,fomfati,
SN000772,open; naked,LX000354,
SN000773,storey; upper floor,LX000355,
SN000774,breath,foole,
SN000775,breathe,fooli,
SN000776,rest,LX000356,
SN000777,give rest; cause to rest,LX000357,
SN000778,rest; chapter,LX000358,
SN000779,chapter,LX000358,
SN000780,waterfall,LX000359,
SN000781,vapour,fooraro,
SN000782,commit adultery; do some bad action stealthily,foori,
SN000783,uproot,LX000360,
SN000784,prevent air from coming in,fugi,waasa process
SN000785,thatch,fukki,
SN000786,"grass, bamboo etc. used for thatching roof",fukko,
SN000787,go out; ascend; escape,fuli,
SN000788,cross,fuli,
SN000789,win discussion,fuli,
SN000790,fifth period of luba,fullaasa,
SN000791,result,fullo,
SN000792,snort,fumfati,
SN000793,seedling of ensete,funta,just sprouted
SN000794,appear suddenly,furduggi_yi,
