ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Media_IDs,Sense_IDs,Gloss_POS,Lexical_Entries
XV000011,sid,kuni baɗɗera higannokki ʧʼoeeti,kun\t-i\tbaɗɗ\t-e\t-ra\thig\t-anno\t-kki\tʧʼo\t-e\t=eti,this\tNOM.MOD\tback\tOBL\tDAT\tturn\tIMPF.3K\tnot\tmatter\tEV\t=COP,This is a matter which will not turn backwards (i.e. is inevitable),,,VII 37-1,,SN000047,pro\tn:Any\tn\tn:Any\tcase\tv\tv:Any\tnegativizer\tn\tAttaches to any category\tcopula,konne 2\t-i 3\tbaɗɗe\t-e 5\t-ra 1\thigi\t-anno\t-kki 1\tʧʼoe\t-V\t=ti
XV000012,sid,baɗɗillitte higgu,baɗɗillitt\t-e\thig\t-tu,backward\tACC\tturn\tPRF.3T,They turned backwards,,,XIX 23-21,,SN000049,n\tn:Any\tv\tv:Any,baɗɗillitte\t-e 2\thigi\t-tu 2
XV000013,sid,ʔise ʔoosokkira baiɗate?,ʔis\t-e\tʔooso\t-kki\t-ra\tbaiɗ\t-a\t-te\t?,3T\tNOM\tchildren\t2SG.POSS\tDAT\tbig\tACC\tCVB.3T\t,Is she the biggest (=oldest) of your children?,,,II 7-5,,SN000055,pro\tn:Any\tn\tPronoun\tcase\tadjective\tn:Any\tv:Any\t,ʔise 1\t-e 4\tʔooso\t-kki 2\t-ra 1\tbaiɗa\t-a 1\t-te 3\t
XV000014,sid,ʔafalaale woʔma farʃo baiɗɗino,ʔafalaal\t-e\twoʔm\t-a\tfarʃ\t-o\tbaiɗ\t-ɗino,clay_pot\tACC\tfull\tACC\tlocal_beer\tACC\tcarry_on_the_back\tPST.IMPF.3T,She carried (on her back) a full pot of local beer,,,III 50-11,,SN000058,n\tn:Any\tadjective\tn:Any\tn\tn:Any\tv\ttam,ʔafalaale\t-e 2\twoʔma\t-a 1\tfarʃo\t-o 1\tbaiɗi 1\t-tino
XV000015,sid,ʃoole baiɗino,ʃool\t-e\tbaiɗ\t-ino,four\tACC\tyield\tPST.IMPF.3K,It has yielded a fourfold crop,,,XXI 9-1,,SN000058,numeral\tn:Any\tv\tv:Any,ʃoole\t-e 2\tbaiɗi 2\t-ino
XV000016,sid,ʔisi baiʧʧo wole kʼanso,ʔisi\tbaiʧʧ\t-o\twol\t-e\tkʼas\t-no,3K.POSS\tplace\tACC\tother\tACC\tsubstitute\tJUSS.1PL,Let us replace him (lit. put another instead of him),,,III 54A-5,,SN000064,pro\tn\tn:Any\tadjective\tn:Any\tv\tv:Any,ʔisi\tbaiʧʧo 2\t-o 1\twole\t-e 2\tkʼasi\t-no 4
XV000017,sid,kuni dariʧʧi bakʼkʼalaho,kun\t-i\tdariʧʧ\t-i\tbakʼkʼal\t-a\t-ho,this\tNOM\tleaf\tNOM.MOD\tyellow\tACC\tCOP,This leaf is yellow,,,I 17-3,,SN000071 ; SN000465,pro\tn:Any\tn\tn:Any\tadjective\tn:Any\tcopula,konne 2\t-i 5\tdariʧʧo\t-i 3\tbakʼkʼala\t-a 1\t-ho 2
XV000018,sid,tini daro bakʼkʼaltino,tin\t-i\tdar\t-o\tbakʼkʼal\t-tino,this\tNOM.MOD\tleaves\tNOM\tbe/become_yellow\tPST.IMPF.3T,These leaves have turned yellow,,,I 17-2,,SN000072,pro\tn:Any\tn\tn:Any\tv\ttam,tini\t-i 3\tdaro\t-o 2\tbakʼkʼali\t-tino
XV000019,sid,gotʼiʧʧunni bakʼkʼi ʔassitusi,gotʼiʧʧ\t-u\t-nni\tbakʼkʼi ʔassi\t-tu\t-si,sleep\tOBL.U\tABL\twake_up_(tr.)\tPRF.3T\t3K.ACC/DAT,They woke him up from sleep,,,III 48-2,,SN000074,n\tn:Any\tcase\tv\tv:Any\tn:Any,gotʼiʧʧo\t-u 1\t-nni 1\tbakʼkʼi ʔassi\t-tu 2\t-si 2
XV000020,sid,ʔassa hoogummoro balaleemmo,ʔass\t-a\thoog\t-ummo\t-ro\tbalal\t-eemmo,do\tINF.ACC\tlack\tPRF.1M\tCOND\tbe_foolish\tIMPF.1SG.M,"If I don't do it, I'm a fool",,,XXII 14-5,,SN000076,v\tv:Any\tv\tv:Any\tsubordinator\tv\tv:Any,ʔassi\t-a 9\thoogi\t-ummo\t-ro\tbalali\t-eemmo
XV000021,sid,balatʼe kaʔentinni tenne tʼagge nabbabeemmo,balatʼ\t-e\tkaʔ\t-e\t-nti\t-nni\ttenn\t-e\ttʼagg\t-e\tnabbab\t-eemmo,do_first\tCVB.1SG\tbegin\tCVB.1SG\tNR.T.OBL\tABL\tthis\tACC\tstory\tACC\tread\tIMPF.1SG.M,First thing I do is to read this story,,,III 52-3,,SN000079,v\tv:Any\tv\tv:Any\tv>n\tcase\tpro\tn:Any\tn\tn:Any\tv\tv:Any,balatʼi\t-e 1\tkaʔi\t-e 1\t-nti 3\t-nni 1\ttenne\t-e 2\ttʼagge\t-e 2\tnabbabi\t-eemmo
XV000022,sid,mittiʧʧo waai bale mule fooliʃʃiɗi,mittiʧʧ\t-o\twa\t-a\t-i\tbal\t-e\tmul\t-e\tfooliʃʃiɗ\t-i,one\tACC\twater\tEV\tNOM.MOD\thole_in_the_earth\tGEN.MOD\tproximity\tACC\trest\tPRF.3K,He rested beside a well,,,VIII 4-1,,SN000081,numeral\tn:Any\tn\tAttaches to any category\tn:Any\tn\tn:Any\tn\tn:Any\tv\tv:Any,mittiʧʧo\t-o 1\twa\t-V\t-i 3\tbale\t-e 7\tmule 1\t-e 2\tfooliʃʃiɗi\t-í
XV000023,sid,magani balete giddonni wiliile fultanno,magan\t-i\tbal\t-e\t-te\tgidd\t-o\t-nni\twiliil\t-e\tful\t-tanno,God\tGEN\thole_in_the_earth\tOBL\tGEN.U\tinside\tOBL\tABL\tsmoke\tNOM\tgo_out\tPST.IMPF.3T,Smoke comes out of God´s hole (i.e. volcano),,,I 46A-7,,SN000081,n\tn:Any\tn\tn:Any\tcase\tn\tn:Any\tcase\tn\tn:Any\tv\tv:Any,magano\t-i 4\tbale\t-e 5\t-te 4\tgiddo 2\t-o 3\t-nni 1\twiliile\t-e 4\tfuli\t-tanno 2
XV000024,sid,ballitinore faninsa,ball\t-i\t-tino\t-re\tfan\t-i\t-nsa,be_blind\tEV\tPST.IMPF.3T\tNR.PL.ACC\topen\tPRF.3K\t3PL.ACC/DAT,He opened them (the eyes of them) who were blind,,,V 5-5,,SN000083,v\tAttaches to any category\ttam\tnominalizer\tv\tv:Any\tPronoun,balli\t-V\t-tino\t-re 2\tfani\t-í\t-nsa
XV000025,sid,kʼaakʼkʼu balliʧʧa ʔannasi massagino,kʼaakʼkʼ\t-u\tballiʧʧ\t-a\tʔann\t-a\t-si\tmassag\t-ino,baby\tNOM.U\tblind_(man)\tACC\tfather\tACC\t3SG.M.POSS\tlead\tPST.IMPF.3K,The child lead his blind father,,,IV 22-6,,SN000085,n\tn:Any\tn\tn:Any\tn\tn:Any\tPronoun\tv\tv:Any,kʼaakʼkʼo\t-u 3\tballiʧʧa\t-a 1\tʔanna\t-a 1\t-si 1\tmassagi\t-ino
XV000026,sid,"ʔannanke ballo, ʔiima heeɗattohu","ʔanna\t-nke\tball\t-o\t,\tʔiim\t-a\theeɗ\t-atto\t-hu",father\t1PL.POSS\tplease\tACC\t\theaven\tACC\tlive\tIMPF.2M\tNR.K.NOM,"Oh, you father, who lives in heaven!",,,I 49-1,,SN000086,n\tPronoun\tn\tn:Any\t\tn\tn:Any\tv\tv:Any\tv>n,ʔanna\t-nke 2\tballo\t-o 1\t\thiima\t-a 1\theeɗi\t-atto\t-hu
XV000027,sid,barrunni mitto barra,,,one of the days = one day,,,V 4-2,,SN000108,,
XV000028,sid,barra ʔarriʃʃo tʼabbanno,barr\t-a\tʔarriʃʃ\t-o\ttʼab\t-tanno,day\tACC\tsun\tNOM\tshine\tPST.IMPF.3T,By day the sun shines,,,I 25-9,,SN000108 ; SN003715,n\tn:Any\tn\tn:Any\tv\tv:Any,barra\t-a 1\tʔarriʃʃo\t-o 2\ttʼabi\t-tanno 2
XV000029,sid,barʃiʔnewinni higginoita malaatisate ...,barʃ\t-i\t-ʔne\t-binni\thig\t-tinonni\t-ta\tmalaatis\t-a\t-te\t...,neglection_of_duty\tOBL.MOD\t2PL.POSS\tDAT+ABL\tturn\tPST.IMPF.2PL\tNR.T.ACC\tindicate\tINF.OBL\tDAT\t,To indicate (show) that you have turned from your duty-neglection ...,,,VII 54-6,,SN000113,n\tn:Any\tPronoun\tcase\tv\tPronoun\tv>n\tv\tv:Any\tn:Any\t,barʃe\t-i 1\t-ʔne\t-binni\thigi\t-tinonni\t-ta 1\tmalaatisi\t-a 9\t-te 8\t
XV000030,sid,barʧʼimma ʔaɗɗite ʔofolli,barʧʼimm\t-a\tʔaɗɗ\t-i\t-te\tʔofoll\t-i,small_chair\tACC\ttake\tEV\tCVB.2SG\tsit_down\tIMP.SG,Take a seat/chair and sit down,,,I 39-1,,SN000115,n\tn:Any\tv\tAttaches to any category\tv:Any\tv\tv:Any,barʧʼimma\t-a 1\tʔaɗɗi\t-V\t-te 9\tʔofolli\t-i 2
XV000031,sid,tenne basera weese kaasiɗeemmo,tenn\t-e\tbas\t-e\t-ra\twees\t-e\tkaasiɗ\t-eemmo,this\tACC\tsmall_field\tOBL\tDAT\tensete_palms\tACC\tplant_for_oneself\tIMPF.1SG.M,I will plant inset in this section of the field,,,VII 18-6,,SN000116,pro\tn:Any\tn\tn:Any\tcase\tn\tn:Any\tv\tv:Any,tenne\t-e 2\tbase\t-e 5\t-ra 1\tweese\t-e 2\tkaasiɗi\t-eemmo
XV000032,sid,ninke basu teʧʧo yemakko ʔamaddu,ninke\tbas\t-u\tteʧʧ\t-o\tyemakk\t-o\tʔamad\t-tu,1PL.ACC\tcat\tNOM\ttoday\tACC\trat\tACC\tcatch\tPRF.3T,To-day our cat caught a rat,,,IV 25-1,,SN000120,pro\tn\tn:Any\tn\tn:Any\tn\tn:Any\tv\tv:Any,ninke\tbasu\t-u 2\tteʧʧo\t-o 1\tyemakko\t-o 1\tʔamadi\t-tu 2
XV000033,sid,baʃʃo ʔane mini kabiiʧʧooti,baʃʃ\t-o\tʔane\tmin\t-i\tkabiiʧʧ\t-o\t-o\t-ti,long_ago\tACC\t1SG.POSS\thouse\tOBL\there\tOBL\tEV\tCOP,In earlier times my house was here,,,IV 6-9,,SN000123,n\tn:Any\tpro\tn\tn:Any\tadverbial\tn:Any\tAttaches to any category\tcopula,baʃʃo\t-o 1\tʔane 2\tmine\t-i 1\tkabiiʧʧo\t-o 3\t-V\t-ti 1
XV000034,sid,batiɗino dambali kaʔi,batiɗ\t-ino\tdambal\t-i\tkaʔ\t-i,abound\tPST.IMPF.3K\twave\tNOM.MOD\tarise\tPRF.3K,Very many waves arose,,,III 47-8,,SN000125,v\tv:Any\tn\tn:Any\tv\tv:Any,batiɗi\t-ino\tdambala\t-i 3\tkaʔi\t-í
XV000035,sid,hude batiɗɗennasi ...,hud\t-e\tbatiɗ\t-te\t-nna\t-si\t...,hunger\tNOM\tabound\tCVB.3T\tNS\t3K.ACC/DAT\t,Because the hunger was too much for him ...,,,VI 2-13,,SN000125,n\tn:Any\tv\tv:Any\tv:Any\tn:Any\t,hude\t-e 4\tbatiɗi\t-te 3\t-nna 4\t-si 2\t
XV000036,sid,danʧa heeʃo ʔuitannoti ʤirote batiɲɲe diʔikkitinona,danʧ\t-a\theeʃ\t-o\tʔu\t-i\t-tanno\t-ti\tʤiro\t-te\tbatiɲɲ\t-e\tdi=\tʔikk\t-i\t-tino\t-na,good\tACC\tlife\tACC\tgive\tEV\tPST.IMPF.3T\tNR.T.NOM\tpossession\tGEN.U\tabundance\tACC\tNEG=\tbe\tEV\tPST.IMPF.3T\tbecause,What gives a good life is not abundance of property,,,VI 8-13,,SN000126,adjective\tn:Any\tn\tn:Any\tv\tAttaches to any category\tv:Any\tsubordinator\tn\tcase\tn\tn:Any\tprefix\tv\tAttaches to any category\ttam\tconjunction,danʧa\t-a 1\theeʃʃo\t-o 1\tʔui\t-V\t-tanno 2\t-ti 2\tʤiro\t-te 4\tbatiɲɲe\t-e 2\tdi=\tʔikki 1\t-V\t-tino\t-na 1
XV000037,sid,konne baʧʼʧʼe giirate mulinni hoolle,konn\t-e\tbaʧʼʧʼ\t-e\tgiira\t-te\tmul\t-i\t-nni\thool\t-le,this\tACC\tclay-pots\tACC\tfire\tGEN\tnear\tOBL\tABL\tprevent\tIMP.2PL,Take (pl.) these pots away from the fire,,,III 55-1,,SN000131,pro\tn:Any\tn\tn:Any\tn\tcase\tpostposition\tn:Any\tcase\tv\tv:Any,konne 2\t-e 2\tbaʧʼʧʼe\t-e 2\tgiira\t-te 1\tmule 2\t-i 1\t-nni 1\thooli\t-le
XV000038,sid,manʧaamete maala battete,manʧaame\t-te\tmaal\t-a\tbatte\t-te,pigs\tGEN.U\tmeat\tNOM\tunclean_food\tCOP,The flesh of swine is impure,,,XXII 29-3,,SN000135,n\tcase\tn\tn:Any\tn\tcopula,manʧaame\t-te 4\tmaala\t-a 5\tbatte\t-te 2
XV000039,sid,seennu maakʼiʧʧo baiɗa dibatʼtʼanno,seenn\t-u\tmaakʼiʧʧ\t-o\tbaiɗ\t-a\tdi=\tbatʼ\t-tanno,female\tNOM.U\twater-pot\tACC\tcarry_on_the_back\tINF.ACC\tNEG=\tlike\tPST.IMPF.3T,Girls do not like to carry pots on their backs,,,IV 9-2,,SN000138,n\tn:Any\tn\tn:Any\tv\tv:Any\tprefix\tv\tv:Any,seenne\t-u 3\tmaakʼkʼiʧʧo\t-o 1\tbaiɗi 1\t-a 9\tdi=\tbatʼi\t-tanno 2
XV000040,sid,ʔafiɗino wotʼe duuʧʧa batʼisiisi gede ʔasse finʧʼe gudi,ʔafiɗ\t-ino\twotʼ\t-e\tduuʧʧ\t-a\tbatʼisiis\t-i\tged\t-e\tʔass\t-e\tfinʧʼ\t-e\tgud\t-i,find\tPST.IMPF.3K\tmoney\tACC\tall\tACC\tcause_to_love\tPRF.3K\tas\tACC\tdo\tCVB.3K\tspend_(money)_in_vain\tCVB.3K\tfinish_(tr)\tPRF.3K,He spent all the money as he liked,,,VI 2-8,,SN000141,v\tv:Any\tn\tn:Any\tadjective\tn:Any\tv\tv:Any\tsubordinator\tn:Any\tv\tv:Any\tv\tv:Any\tv\tv:Any,ʔafiɗi\t-ino\twotʼe\t-e 2\tduuʧʧa\t-a 1\tbatʼisiisi\t-í\tgede 4\t-e 2\tʔassi\t-e 3\tfinʧʼi\t-e 3\tgudi\t-í
XV000041,sid,kuni fiitʼafira baʔinohu,,,He whose relatives are bad,,,IV 39-5,,SN000144,,
XV000042,sid,darabonke suʔmi baʔannokki gede ...,darab\t-o\t-nke\tsuʔm\t-i\tbaʔ\t-anno\t-kki\tged\t-e\t...,mate\tGEN\t1PL.POSS\tname\tNOM.MOD\tperish\tIMPF.3K\tnot\tas\tACC\t,So that our friend´s name shall not be destroyed ... (abuse)???,,,III 8-2,,SN000144,n\tn:Any\tPronoun\tn\tn:Any\tv\tv:Any\tnegativizer\tsubordinator\tn:Any\t,darabo\t-o 5\t-nke 2\tsuʔma\t-i 3\tbaʔi\t-anno\t-kki 1\tgede 4\t-e 2\t
XV000043,sid,ʔafibbeelo,ʔafi\t=bbeelo,see\t=without,without understanding,,,XVIII 4-17,,SN000146,v\tderivation,ʔafi\t=bbelo
XV000044,sid,ʔiloommahobe,ʔil\t-oomma\t-ho\t-be,bear_(child)\tPST.IMPF.1F\tCOP\t(exclamation_of_indignation_or_emphasis),It is one whom I have born of course,,,XXII,,,v\tv:Any\tcopula\tpragmatic,ʔili\t-oomma\t-ho 2\t-be 1
XV000045,sid,ʔisi ʔitannibe no,ʔise\tʔit\t-a\t-nni\t-be\tno,3K\teat\tPART\tABL\t(exclamation_of_indignation_or_emphasis)\tAUX,(Don´t disturb) he´s eating,,,XIII 48-3,,,pro\tv\tv:Any\tcase\tpragmatic\tv,ʔise 2\tʔiti\t-a 7\t-nni 1\t-be 1\tno
XV000046,sid,beebba ʔasseemmo,,,I do wrong,,,II 27-11,,SN000149,,
XV000047,sid,beettuno ʔannu gede beebbataamoho,beett\t-u\t-no\tʔann\t-u\tged\t-e\tbeebbataam\t-o\t-ho,son\tNOM.U\tand\tfather\tGEN.U\tlike\tACC\twrongdoer\tACC\tCOP,"The son, like the father, is a wrong-doer",,,IV 13-8,,SN000154,n\tn:Any\tconjunction\tn\tn:Any\tpostposition\tn:Any\tn\tn:Any\tcopula,beetto\t-u 3\t-no 1\tʔanna\t-u 4\tgede 3\t-e 2\tbeebbataamo\t-o 1\t-ho 2
XV000048,sid,beebbataamoho,,,He is a false man,,,II 28-7,,SN000154,,
XV000049,sid,beebbanno,beeb\t-tanno,keep_quiet\tPST.IMPF.3T,She keeps quiet,,,II 27-13,,SN000155,v\tv:Any,beebi\t-tanno 2
XV000050,sid,mitte beeddakko laʔeemmo,mitt\t-e\tbeeddakk\t-o\tlaʔ\t-eemmo,one\tNOM\tstar\tACC\tsee\tIMPF.1SG.M,I see one star,,,I 26-4,,SN000158,numeral\tn:Any\tn\tn:Any\tv\tv:Any,mitte\t-e 4\tbeeddakko\t-o 1\tlaʔi\t-eemmo
XV000051,sid,haʃʃa beeddahe tʼabbanno,haʃʃ\t-a\tbeeddah\t-e\ttʼab\t-tanno,night\tACC\tstars\tNOM\tshine\tPST.IMPF.3T,By night the stars shine,,,I 26-3,,SN000158,n\tn:Any\tn\tn:Any\tv\tv:Any,haʃʃa\t-a 1\tbeeddahe\t-e 4\ttʼabi\t-tanno 2
XV000052,sid,tini honsenti booso lameba beehantao,tin\t-i\thonse\t-nti\tboos\t-o\tlam\t-e\t-ba\tbeeham\t-tanno,this\tNOM.MOD\tnine\tDEF.T.NOM\tpart\tNOM\ttwo\tOBL\tDAT\tbe_divided\tPST.IMPF.3T,These nine parts are divided into two,,,VII 23-4,,SN000159,pro\tn:Any\tnumeral\tn:Any\tn\tn:Any\tnumeral\tn:Any\tcase\tv\tv:Any,tini\t-i 3\thonse\t-nti 2\tbooso\t-o 2\tlame\t-e 5\t-ba\tbeehami\t-tanno 2
XV000053,sid,konne gide taaʃʃite beehi,konn\t-e\tgid\t-e\ttaaʃʃi\t-te\tbeeh\t-i,this\tACC\tgrain\tACC\tmake_equal\tCVB.2SG\tdivide\tIMP.SG,Divide this crop into equal parts,,,VII 16-4,,SN000163 ; SN002917,pro\tn:Any\tn\tn:Any\tv\tv:Any\tv\tv:Any,konne 2\t-e 2\tgide\t-e 2\ttaaʃʃi\t-te 9\tbeehi\t-i 2
XV000054,sid,beekʼkʼitinenni gede haʤaʤammora ʧʼimeessa ʔasse worinoʔehu ʔaeeti?,beekʼkʼ\t-i\t-tinanni\tged\t-e\thaʤaʤ\t-ammo\t-ra\tʧʼimeess\t-a\tʔass\t-e\twor\t-ino\t-ʔe\t-hu\tʔae\t-e\t-e\t-ti\t?,divide_for_oneself\tEV\tIMPF.2PL\tin_order_to\tACC\torder\tPINF.1SG.M\tDAT\tjudge\tACC\tdo\tCVB.3K\tput\tPST.IMPF.3K\t1SG.ACC/DAT\tNR.K.NOM\twho\tACC\tEV\tCOP\t,Who appointed me an arbitor who should order you to divide for yourselves? ???,,,VI 8-8,,SN000164,v\tAttaches to any category\tv:Any\tsubordinator\tn:Any\tv\tv:Any\tcase\tn\tn:Any\tv\tv:Any\tv\tv:Any\tPronoun\tv>n\tpro\tn:Any\tAttaches to any category\tcopula\t,beekʼkʼi\t-V\t-tinanni 2\tgede 4\t-e 2\thaʤaʤi\t-ammo\t-ra 1\tʧʼimeessa\t-a 1\tʔassi\t-e 3\twori\t-ino\t-ʔe\t-hu\tʔae 1\t-e 2\t-V\t-ti 1\t
XV000055,sid,tenne ʔuddano wagibeello ʔuuʔe,tenn\t-e\tʔuddan\t-o\twagibeello\tʔu\t-i\t-ʔe,this\tACC\tclothes\tACC\tfree\tgive\tIMP.SG\t1SG.ACC/DAT,Give me these clothes for free!,,,IV 37-2,,SN000166,pro\tn:Any\tn\tn:Any\tadverbial\tv\tv:Any\tPronoun,tenne\t-e 2\tʔuddano\t-o 1\twaagibeelo\tʔui\t-i 2\t-ʔe
XV000056,sid,ʤirtibeelo (ʤirte ɲ.f.!),ʤirt\t-i\t-beel\t-o,law\tOBL\twithout\tACC,lawless (person?),,,IX 33-2,,SN000166,n\tn:Any\tv\tn:Any,ʤirte\t-i 1\tbeelo\t-o 1
XV000057,sid,ʔillebeello,ʔill\t-e\t-beell\t-o,eye(s)\tACC\twithout\tACC,without eyes,,,VII 13-13,,SN000166,n\tn:Any\tv\tn:Any,ʔille\t-e 2\tbeelo\t-o 1
XV000058,sid,tunsiʧʧu ʔuulla beeʃʃe ʔamadi,tunsiʧʧ\t-u\tʔuull\t-a\tbeeʃʃ\t-e\tʔamad\t-i,darkness\tNOM.U\tearth\tACC\tcover\tCVB.3K\tcatch\t,Darkness caught the earth and covered it,,,V 10-7,,SN000168,n\tn:Any\tn\tn:Any\tv\tv:Any\tv\tv:Any,tuunsiʧʧo\t-u 3\tʔuulla\t-a 1\tbeeʃʃi\t-e 3\tʔamadi\t-í
XV000059,sid,beeʃʃinke,beeʃʃ\t-i\t-nke,cover\tPRF.3K\tnot,"He silenced us, caused us to keep silent",,,II 37-12,,SN000169,v\tv:Any\tnegativizer,beeʃʃi\t-í\t-nke 1
XV000060,sid,konneno ʔamadinohu mitto ʃiima beettooti,konn\t-e\t-no\tʔamad\t-ino\t-hu\tmitt\t-o\tʃiim\t-a\tbeett\t-o\t-o\t-ti,this\tACC\tand\thold_in_one's_hands\tPST.IMPF.3K\tNR.K.NOM\tone\tACC\tsmall\tACC\tboy\tACC\tEV\tCOP,The one who had this was a small boy,,,III 41-6,,SN000171,pro\tn:Any\tconjunction\tv\tv:Any\tv>n\tnumeral\tn:Any\tadjective\tn:Any\tn\tn:Any\tAttaches to any category\tcopula,konne 2\t-e 2\t-no 1\tʔamadi\t-ino\t-hu\tmitto\t-o 1\tʃiima\t-a 1\tbeetto\t-o 1\t-V\t-ti 1
XV000061,sid,ʔati tenne beetto ʔaɗɗattora halʧeemmo,ʔat\t-i\ttenn\t-e\tbeett\t-o\tʔaɗɗ\t-atto\t-ra\thalʧ\t-eemmo,2SG\tNOM.MOD\tthis\tACC\tgirl\tACC\tmarry\tPINF.2M\tDAT\twish\tIMPF.1SG.M,I want you to marry this girl (daughter),,,II 21-3,,SN000174,pro\tn:Any\tpro\tn:Any\tn\tn:Any\tv\tv:Any\tcase\tv\tv:Any,ʔati\t-i 3\ttenne\t-e 2\tbeetto\t-o 1\tʔaɗɗi\t-atto\t-ra 1\thalʧi\t-eemmo
XV000062,sid,bero ʔaeba haritto?,,,Who did you go to yesterday?,,,I 3-5,,SN000179,,
XV000063,sid,berora ʔalbanni hiɗɗoommo,bero\t-ra\tʔalb\t-a\t-nni\thiɗɗ\t-oommo,yesterday\tDAT\tbefore\tOBL\tABL\tbuy\tPST.IMPF.1M,I bought (it) the day before yesterday,,,I 17-5,,SN000180 ; SN001446,n\tcase\tadverbial\tn:Any\tcase\tv\tv:Any,bero\t-ra 1\tʔalba 2\t-a 4\t-nni 1\thiɗɗi\t-oommo
