ID,Language_ID,Headword,Part_Of_Speech,Construction,Entry_IDs,Etymology,Gloss,Morpheme_Breaks,Morphological_Structure,Official_Orthography,Type,Variant_Form
LX000020,sid,baɗɗete wolu dinoʔe,MWE,,,,back-DAT other-NOM NEG=exist-me,baɗɗe-te wol-u di=no-ʔe,baDDe-te (DAT) wol-u (NOM) di (NEG)=no ('exist')-xe ('me'),badhete wolu dinoe,,
LX000021,sid,baɗɗillitte,Noun,,,,back-DER,baɗɗ(e)-illitte,baDD(e)-illitte (DER showing direction),badhillitte,T (FEM),
baga,sid,baga,Noun,,,,,,,baga,K (MASC) ; T (FEM),
LX000022,sid,bagadaanʧo,Noun,,,,weapon-AG-SGLT,bagad(o)-aan-ʧo,bagad(o)-aan (DER.AGNT)-co (SGLT),bagadaancho,K (MASC),
bagado,sid,bagado,Noun,,,,,,,bagado,K (MASC),
bagi,sid,bagi,Verb,,,,,,,bagi,,
LX000023,sid,baiɗa,adjective,,,,,,,bayi’ra,,
LX000024,sid,baiɗami,Verb,,,,carry.on.the.back-PAS,baiɗ-am,baiD-am (PAS),bayi’rami,PAS,
LX000025,sid,baiɗaʔya,adverbial,,,,superior-POSS.1SG,baiɗa-ʔya,baiDa-xya (POSS.1SG),bayi’ra’ya,,
LX000026,sid,baiɗi,Verb,,,,,,,bayi’ri,,
LX000027,sid,baiɗi,Verb,,,,,,,,,
LX000028,sid,baiɗiidi,adjective,,,,superior-DER.A,baiɗ(a)-iidi,baiD(a)-iidi (DER.A),bayi’riidi,,
LX000029,sid,baiɗoonsi,Verb,,,,carry.on.the.back-ABSTR-VBLZ-,baiɗ-oom(a)-s-,baiD-oom(a) (ABSTR)-s (VBLZ)-,bayi'roonsi,,
LX000030,sid,baisse baʔoo,interjection,,LX000004,,perish-CAUS-IMP.2PL perish-JUS.3K,baʔ-is-se baʔ-o,bax-is (CAUS)-se (IMP.2PL) bax-o (JUS.3K),bayisse baoo,,
LX000031,sid,baiʧʧo,adverbial,,,,N-GEN place-SGLT,ba-iʧʧo,ba-icco (SGLT),bayichcho,,
LX000032,sid,baiʧʧo,Noun,,,,place-SGLT,ba-iʧʧo,ba-icco (SGLT),bayichcho,K (MASC),
LX000033,sid,baiʧʧo baiʧʧonkonni,adverbial,,,,place place-DISTR-ABL,baiʧʧo baiʧʧo-nko-nni,baicco baicco-nko (DISTR)-nni (ABL),bayichcho bayichchonkonni,,
LX000034,sid,baiʧʧonko,adverbial,,,,place-DISTR,baiʧʧo-nko,baicco-nko (DISTR),bayichchonko,,
LX000035,sid,baiʧʧunni baiʧʧo saʔi,Verb,,,,place-SGLT-U-ABL place pass,ba-iʧʧ(o)-u-nni baiʧʧo saʔ-,ba-icc(o) (SGLT)-u (U)-nni (ABL) baicco (N.LOC) sax ('pass')-,bayichchunni bayichcho sa’’i,,
LX000036,sid,bakkalʧa,Noun,,,,,,,bakkalcha,K (MASC),
LX000037,sid,bakʼa,Noun,,,,,,,baqa,K (MASC),
LX000038,sid,bakʼkʼaalla,Noun,,,,,,,baqqaalla,K (MASC),
LX000039,sid,bakʼkʼala,adjective,,,,,,,baqqala,,
LX000040,sid,bakʼkʼali,Verb,,,,,,,baqqali,,
LX000041,sid,bakʼkʼi yi,Verb,,,,IDEO say,bakʼkʼi y-,,baqqi yi,COMP,
LX000042,sid,bakʼkʼi ʔassi,Verb,,,,IDEO do,bakʼkʼi ʔass-,,baqqi assi,COMP,
balala,sid,balala,adjective,,,,,,,balala,,
balali,sid,balali,Verb,,,,,,,balali,,
balalle,sid,balalle,Noun,,,,be.foolish-DER,balal-ne,balal-ne (DER),balalle,T (FEM),
balalsi,sid,balalsi,Verb,,,,be.foolish-CAUS-,balal-s-,balal-s (CAUS)-,balalsi,CAUS,
LX000043,sid,balatʼi,Verb,,,Amharic bällät'ä 'be greater',,,,balaxi,,
balde,sid,balde,Noun,,,Amharic baldi 'bucket',,,,balde,T (FEM),
bale,sid,bale,Noun,,,,,,,bale,T (FEM),
ballehi,sid,ballehi,Verb,,,,,,,ballehi,,
balli,sid,balli,Verb,,,,,,,balli,,
LX000044,sid,balliʃʃa,Noun,,,,respectful.address-DER,ball(o)-iʃʃa,ball(o)-iSSa (DER),ballishsha,K (MASC),
LX000045,sid,balliʧʧa,Noun,,,,,,,ballichcha,K (MASC),
ballo,sid,ballo,Noun,,,,,,,ballo,K (MASC) ; T (FEM),
LX000046,sid,ballo magaɲɲetena,adverbial,,,,uncle supplication-DAT/COP-and,ballo magaɲɲe-te-na,ballo magaNNe-te (DAT/COP)-na ('and'),ballo maganyetena,,
LX000047,sid,balʧooma,Noun,,,,,,,balchooma,K (MASC),
LX000048,sid,bambaiʧʧo,Noun,,,,,,,bambayichcho,T (FEM),
bandera,sid,bandera,Noun,,,Italian via Amharic bandira 'flag',,,,bandera,K (MASC),
bangagi,sid,bangagi,Verb,,,,,,,bangagi,,
bangagisi,sid,bangagisi,Verb,,,,be.warned-CAUS-,bangag-is-,bangag-is (CAUS)-,bangagisi,,
LX000049,sid,bangagooʃʃe,Noun,,,,be.warned-DER,bangag-ooʃʃe,bangag-ooSSe (DER),bangagooshshe,K (MASC),
LX000050,sid,bankʼo,Noun,,,,,,,banqo,T (FEM),
baraarragisi,sid,baraarragisi,Verb,,,,startle-CAUS-,bararraakʼ-s-,bararraaK-s (CAUS)-,baraarragisi,CAUS,
baragi,sid,baragi,Verb,,,,,,,baragi,,
baraha,sid,baraha,Noun,,,Amharic bäräha 'desert',,,,baraha,K (MASC),
LX000051,sid,bararraakʼi,Verb,,,,,,,bararraaqi,,
bararraassi,sid,bararraassi,Verb,,,,startle-CAUS-,bararraakʼ-s-,bararraaK-s (CAUS)-,bararraassi,CAUS,
barbaada,sid,barbaada,Noun,,,,,,,barbaada,T (FEM),
bareeda,sid,bareeda,Noun,,,,,,,bareeda,K (MASC),
bareedi,sid,bareedi,Verb,,,,,,,bareedi,,
bargo,sid,bargo,Noun,,,,,,,bargo,T (FEM),
barigaroota,sid,barigaroota,Noun,,,,,,,,,
LX000052,sid,barkisiɗi,Verb,,,,wooden.pillow-DER.CAUS-AB-,bark(o)-is-iɗ-,bark(o)-is (DER.CAUS)-iD (AB)-,barkisi’ri,AB,
barko,sid,barko,Noun,,,,,,,barko,T (FEM),
barra,sid,barra,Noun,,,,,,,barra,K (MASC),
barri,sid,barri,Verb,,,,,,,barri,,
barru_barrunni,sid,barru barrunni,adverbial,,,,day-GEN day-ABL,barr(a)-u barr(a)-unni,barr(a)-u (GEN) barr(a)-unni (ABL),barru barrunni,,
barru_taalo,sid,barru taalo,Noun,,,,day-GEN equality,barr(a)-u taalo,barr(a)-u (GEN) taalo,barru taalo,,
barsaafe,sid,barsaafe,Noun,,,Amharic bahïr zaf 'ocean tree',,,,barsaafe,T (FEM),
LX000053,sid,barʃe,Noun,,,,,,,barshe,K (MASC),
LX000054,sid,barʧʼimi,Verb,,,,,,,barcimi,,
LX000055,sid,barʧʼimma,Noun,,,,,,,barcimma,K (MASC),
base,sid,base,Noun,,,,,,,base,T (FEM),
base_battalanni,sid,base battalanni,adverbial,,,,room plain.without.forest-ABL,base battala-nni,base battala-nni (ABL),base battalanni,,
baskaana,sid,baskaana,Noun,,,,,,,baskaana,K (MASC),
basu,sid,basu,Noun,,,,,,,basu,K (MASC),
LX000056,sid,basurriʧʧo,Noun,,,,cats-SGLT,basurr(e)-iʧʧo,basurr(e)-icco (SGLT),basurrichcho,T (FEM),
LX000057,sid,baʃaankʼa,Noun,,,,,,,bashaanqa,K (MASC),
LX000058,sid,baʃʃo,Noun,,,,,,,bashsho,K (MASC),
LX000059,sid,baʃʃoosi gede,MWE,,,,long.ago-POSS.3K like,baʃʃo-si gede,baSSo-si (POSS3K) gede ('like') (POP),bashshoosi gede,,
LX000060,sid,batiɗi,Verb,,,,,,,bati’ri,AB,
LX000061,sid,batiɲɲe,Noun,,,,love-AB-DER,bat-iɗ-ne,bat-iD (AB)-ne (DER),batinye,T (FEM),
batisi,sid,batisi,Verb,,,,love-CAUS-,bat-is-,bat-is (CAUS)-,batisi,CAUS,
LX000062,sid,baʧʼa,adjective,,,,,,,baca,,
LX000063,sid,baʧʼa,Noun,,,,,,,baca,T (FEM),
LX000064,sid,baʧʼi,Verb,,,,,,,baci,,
LX000065,sid,baʧʼʧʼe,Noun,,,,,,,bacce,K (MASC),
LX000066,sid,baʧʼʧʼiʧʧo,Noun,,,,clay.pots-SGLT,baʧʼʧʼ(e)-iʧʧo,baCC(e)-icco (SGLT),baccichcho,K (MASC),
battaabi,sid,battaabi,Verb,,,,unclean.food-INTR-,batt(e)-aab-,batt(e)-aab (INTR)-,battaawi,,
battala,sid,battala,Noun,,,,,,,battala,T (FEM),
batte,sid,batte,Noun,,,,,,,batte,T (FEM),
batteessi,sid,batteessi,Verb,,,,unclean.food-TR-,batt(e)-eess-,batt(e)-eess (TR)-,batteessi,CAUS,
LX000067,sid,batʼami,Verb,,,,love-PAS-,batʼ-am-,baT-am (PAS)-,baxami,,
LX000068,sid,batʼi,Verb,,,,,,,baxi,,
LX000069,sid,batʼille,Noun,,,,love-ABSTR,batʼ-ille,baT-ille (ABSTR),baxille,T (FEM),
LX000070,sid,batʼisiisi,Verb,,,,love-CAUS-,batʼ-isiis,baT-isiis (CAUS)-,baxisiisi,CAUS,
LX000071,sid,batʼtʼi,Verb,,,,separate-AB-,bad-ɗ-,bad-D (AB)-,baxxi,AB,
LX000072,sid,baʔe,adjective,,,,,,,bae,,
LX000073,sid,baʔi,Verb,,,,,,,ba’i,,
LX000074,sid,=bbelo,derivation,,LX000082,,,,,=bbelo,,
LX000075,sid,beɗo,Noun,,,,,,,be’ro,T (FEM),
beebba,sid,beebba,Noun,,,,,,,beebba,K (MASC) ; T (FEM),
LX000076,sid,beebba farʧʼiɗi,Verb,,,,sin witness-AB-,beebba farʧʼ-iɗ-,beebba farC-iD (AB)-,beebba farci’ri,,
beebba_wori,sid,beebba wori,Verb,,,,sin place,beebba wor-,beebba ('sin') wor ('place')-,beebba wori,,
LX000077,sid,beebba ʔassi,Verb,,,,sin make,beebba ʔass-,beebba xass ('make')-,beebba assi,,
beebbataamo,sid,beebbataamo,Noun,,,,sin-DER,beebba-taamo,beebba-taamo (DER),beebbataamo,K (MASC),
beebi,sid,beebi,Verb,,,,,,,beewi,,
beeddahe,sid,beeddahe,Noun,,,,,,,beddahe,T (FEM),
beeddakko,sid,beeddakko,Noun,,,,stars-SGLT,beddah(e)-ko,beddah(e)-ko (SGLT),beddakko,T (FEM),
beehami,sid,beehami,Verb,,,,divide-PAS-,beeh-am-,beeh-am (PAS)-,beehami,PAS,
LX000078,sid,beehaʧʧa,Noun,,,,divide-DER,beeh-aʧʧa,beeh-acca (DER),beehachcha,K (MASC),
LX000079,sid,beehaʧʧe,Noun,,,,divide-DER,beeh-aʧʧe,beeh-acce (DER),beehachche,K (MASC),
LX000080,sid,beehaʧʧo,Noun,,,,divide-DER,beeh-aʧʧo,beeh-acco (DER),beehachcho,K (MASC),
beehi,sid,beehi,Verb,,,,,,,beehi,,
LX000081,sid,beekʼkʼi,Verb,,,,divide-AB-,beeh-ɗ-,beeh-D (AB)-,beeqqi,AB,
LX000082,sid,=beel(l)o,derivation,,LX000074,,,,,=weel(l)o,,
beelo,sid,beelo,Verb,,,,,,,iweeli,,
LX000083,sid,beeʃʃi,Verb,,,,be.covered.up-CAUS-,beeb-s-,beeb-s (CAUS)-,beeshshi,CAUS ; CAUS,
LX000084,sid,beeʃʃiɗi,Verb,,,,keep.quiet-CAUS-AB,beeb-s-iɗ,beeb-s (CAUS)-iD (AB),beeshshi’ri,AB,
beetto,sid,beetto,Noun,,,,,,,beetto,K (MASC) ; T (FEM),
LX000085,sid,bekʼkʼi yi,Verb,,,,IDEO say,bekʼkʼi y-,,beqqi yi,COMP,
LX000086,sid,belekʼi,Verb,,,,,,,beleqi,,
LX000087,sid,belekʼo,Noun,,,,,,,beleqo,K (MASC),
bero,sid,bero,Noun,,,,,,,bero,T (FEM),
LX000088,sid,berora ʔalbanni,adverbial,,,,yesterday-DAT face-ABL,bero-ra ʔalba-nni,bero-ra (DAT) xalba-nni (ABL),berora albanni,,
besso,sid,besso,Noun,,,,,,,besso,T (FEM),
LX000089,sid,betʼtʼibetʼtʼo,Noun,,,,,,,bexxibexxo,T (FEM),
LX000090,sid,beʔʔe assi,Verb,,,,,beʔʔe ass-,,be’e assi,COMP,
LX000091,sid,beʔʔe yi,Verb,,,,IDEO say,beʔʔe y-,,be’e yi,COMP,
LX000092,sid,bibbiʧʼi,Verb,,,,REDUPL-scratch-,bib-biʧʼ-,bib (REDUPL)-biC-,bibbici,,
LX000093,sid,bibbiʧʼiɗi,Verb,,,,REDUPL-scratch-AB-,bib-biʧʼ-iɗ-,bib (REDUPL)-biC-iD (AB)-,bibbici’ri,AB,
biddi_yi,sid,biddi yi,Verb,,,,IDEO say,biddi y-,,biddi yi,COMP,
LX000094,sid,biddi ʔassi,Verb,,,,IDEO do,biddi ʔass-,,biddi assi,COMP,
LX000095,sid,biɗe,Noun,,,,,,,bi’re,T (FEM),
LX000096,sid,biɗe waro,adverbial,,,,long.ago time,biɗe waro,biDe waro,bi’re waro,,
LX000097,sid,biɗeeffati,Verb,,,,,,,bi’reeffati,,
bifa,sid,bifa,Noun,,,,,,,bifa,K (MASC),
biifado,sid,biifado,adjective,,,,be.beautiful-DER,biif-ado,biif-ado (DER),biifado,,
biifi,sid,biifi,Verb,,,,,,,biifi,,
biifisi,sid,biifisi,Verb,,,,be.beautiful-CAUS-,biif-is-,biif-is (CAUS)-,biifisi,,
biilo,sid,biilo,Noun,,,,,,,biilo,K (MASC),
biitto,sid,biitto,Noun,,,,,,,biitto,T (FEM),
LX000098,sid,biitʼe,Noun,,,,,,,biixe,T (FEM),
bikki,sid,bikki,Verb,,,,,,,bikki,,
LX000099,sid,bikʼi,Verb,,,,,,,biqi,,
bila,sid,bila,Noun,,,,,,,bila,K (MASC),
bilbila,sid,bilbila,Noun,,,,,,,bilbila,K (MASC),
LX000100,sid,biliʧʼo,Noun,,,,,,,bilico,T (FEM),
LX000101,sid,billaaʧʧa,Noun,,,,,,,billaachcha,K (MASC),
billaba,sid,billaba,Noun,,,Amharic billawa 'knife',,,,billawa,K (MASC),
billalli,sid,billalli,Verb,,,,,,,billalli,,
billallisi,sid,billallisi,Verb,,,,scatter-CAUS-,billall-is-,billall-is (CAUS)-,billallisi,,
billi,sid,billi,Verb,,,,,,,billi,,
LX000102,sid,billiʃe,Noun,,,,,,,billishe,T (FEM),
LX000103,sid,bilʧaata,adjective,,,,,,,bilchaata,,
LX000104,sid,biltʼoolla,Noun,,,,respected.person-PL,biltʼ(a)-oolla,bilT(a)-oolla (PL),bilxoolla,K (MASC),
LX000105,sid,binanʧa,Noun,,,,,,,binancha,K (MASC),
biro,sid,biro,Noun,,,Italian via Amharic biro 'office',,,,biro,T (FEM),
birra,sid,birra,Noun,,,,,,,birra,T (FEM) ; T (FEM),
LX000106,sid,birra daaʃʃannohu,Noun,,,,silver melt-CAUS-IMPF.3K-NR.K.NOM,birra daad-s-anno-hu,birra ('silver') daad ('melt')-s (CAUS)-anno (IMPF.3K)-hu (NR.K.NOM),birra daashshannohu,,
birre,sid,birre,Noun,,,,,,,birre,K (MASC),
birri,sid,birri,Verb,,,,,,,birri,,
LX000107,sid,birrikʼotto,Noun,,,,,,,birriqotto,K (MASC),
LX000108,sid,birtʼe,Noun,,,,,,,birxe,T (FEM),
LX000109,sid,bise(e),Noun,,,,,,,bise(e),T (FEM),
LX000110,sid,bisiɗe,Noun,,,,,,,bisi’re,K (MASC),
biso,sid,biso,Noun,,,,,,,biso,K (MASC),
bita,sid,bita,Noun,,,,,,,bita,T (FEM),
LX000111,sid,biʧʼiɗi,Verb,,,,scratch-AB-,biʧʼ-iɗ-,biC-iD (AB)-,bici’ri,AB,
LX000112,sid,bitʼee,Noun,,,,,,,biTee,T (FEM),
LX000113,sid,bitʼtʼille,Noun,,,,,,,bixxille,T (FEM),
LX000114,sid,bo(k)i,Verb,,,,,,,bo(k)i,,
bobi,sid,bobi,Verb,,,,,,,bobi,,
bode,sid,bode,Noun,,,,,,,bode,K (MASC),
LX000115,sid,boɗɗi,Verb,,,,,,,bodhi,,
bohi,sid,bohi,Verb,,,,,,,bohi,,
boke,sid,boke,Noun,,,,,,,boke,T (FEM),
bokko,sid,bokko,Noun,,,,,,,bokko,T (FEM),
LX000116,sid,boloʧʼʧʼo,Noun,,,,,,,bolocco,T (FEM),
bonke,sid,bonke,Noun,,,,exclude.from.society-ABSTR,boh-ne,boh-ne (ABSTR),bonke,T (FEM),
boode,sid,boode,Noun,,,,,,,boode,K (MASC),
LX000117,sid,booɗeessi,Verb,,,,,,,boo’reessi,,
LX000118,sid,boohaaɗɗi,Verb,,,,converse.politely-D-,boohaar-ɗ-,boohaar-D (AB)-,boohaadhi,,
boohaare,sid,boohaare,Noun,,,,,,,boohaare,T (FEM),
boohaari,sid,boohaari,Verb,,,,,,,boohaari,,
boohaaro,sid,boohaaro,Noun,,,,,,,boohaaro,K (MASC),
LX000119,sid,boohaarʧo,Noun,,,,converse.politely-DER.SGLT,boohaar-ʧo,boohaar-co (DER.SGLT),boohaarcho,K (MASC),
booka,sid,booka,Noun,,,,,,,booka,T (FEM),
LX000120,sid,bookʼa,Noun,,,,,,,booqa,K (MASC),
boona,sid,boona,Noun,,,,,,,boona,T (FEM),
boonaleessa,sid,boonaleessa,Noun,,,,,,,boonaleessa,K (MASC),
boono,sid,boono,Noun,,,,,,,boono,K (MASC),
LX000121,sid,booraʧʼuriʧʧo,Noun,,,,,,,booracurichcho,K (MASC),
boori,sid,boori,Verb,,,,,,,boori,,
boorto,sid,boorto,Noun,,,,take.up.angry-DER,boor-to,boor-to (DER),boorto,T (FEM),
boosallo,sid,boosallo,Noun,,,,part-DER,boos(o)-allo,boos(o)-allo (DER),boosallo,K (MASC),
LX000122,sid,boosallosi ʔai tʼaʔmanno?,MWE,,,,fireplace-his who ask-IMPF.3K,boosallo-si ʔai tʼaʔm-anno,boosallo-si ('his') xai ('who') Taxm ('ask')-anno (IMPF.3K),boosallosi ayi xa'manno?,,
booso,sid,booso,Noun,,,,,,,booso,K (MASC)/T (FEM) ; T (FEM),
bootta,sid,bootta,Noun,,,,calf-PL,boot(o)-ta,boot(o)-ta (PL),bootta,T (FEM),
bootto,sid,bootto,Noun,,,,,,,booto,K (MASC),
LX000123,sid,borboɗɗo,Noun,,,,,,,borbodho,T (FEM) ; T (FEM),
borda,sid,borda,Noun,,,,,,,borda,K (MASC),
LX000124,sid,boroʤʤimma,Noun,,,,slave-ABSTR,boroʤʤ(e)-imma,borojj(e)-imma (ABSTR),borojjimma,T (FEM),
LX000125,sid,boroʤʤimma gali,Verb,,,,slace-ABSTR stay,boroʤʤ-imma gal-,borojj-imma (ABSTR) gal ('stay')-,borojjimma gali,,
LX000126,sid,boroʤʤiʧʧo,Noun,,,,slave-SGLT,boroʤʤ(e)-iʧʧo,borojj(e)-icco (SGLT),borojjichcho,K (MASC),
boroodi,sid,boroodi,Verb,,,,,,,boroodi,,
LX000127,sid,borreessaanʧo,Noun,,,,engrave-AG-SGLT,borreess-aan-ʧo,borreess-aan (AGNT)-co (SGLT),borreessaancho,K (MASC),
borreessi,sid,borreessi,Verb,,,,writing-TR-,borr(o)-eess-,borr(o)-eess (TR)-,borreessi,CAUS,
LX000128,sid,borreessiɗi,Verb,,,,engrave-AB-,borreess-iɗ-,borreess-iD (AB)-,borreessi’ri,AB,
borress,sid,borress,Verb,,,,,,,,,
borressami,sid,borressami,Verb,,,,engrave-PAS-,borreess-am-,borreess-am (PAS)-,borressami,PAS,
LX000129,sid,borriʧʧa,Noun,,,,writing-SGLT,borr(o)-iʧʧa,borr(o)-icca (SGLT),borrichcha,K (MASC),
LX000130,sid,borriʧʧa,proper noun,,,,,,,borrichcha,K (MASC),
borro,sid,borro,Noun,,,,,,,borro,T (FEM) ; K (MASC),
LX000131,sid,borʧo,Noun,,,,,,,borcho,K (MASC),
LX000132,sid,boʃʃiɗi,Verb,,,,rot-CAUS-AB-,bob-s-iɗ-,bob-s (CAUS)-iD (AB)-,boshshi’ri,AB,
LX000133,sid,boʧʼame,Noun,,,,carve.tree.or.stone-PAS-DER,boʧʼ-am-e,boC-am (PAS)-e (DER),bocame,T (FEM),
LX000134,sid,boʧʼi,Verb,,,,,,,boci,,
LX000135,sid,boʧʼo,Noun,,,,,,,boco,K (MASC),
LX000136,sid,boʔʔo ʔassi,Verb,,,,IDEO do,boʔʔo ʔass-,,bo’o assi,COMP,
bubano,sid,bubano,Noun,,,,flame-DER,bub-ano,bub-ano (DER),bubano,K (MASC),
bubbe,sid,bubbe,Noun,,,,,,,bubbe,T (FEM),
bubbisi,sid,bubbisi,Verb,,,,strong.wind-DER.CAUS,bubb(e)-is-,bubb(e)-is (DER.CAUS)-,bubbisi,CAUS,
bubi,sid,bubi,Verb,,,,,,,buwi,,
budakko,sid,budakko,Noun,,,,evil.eye-SGLT,buda-kko,buda-kko (SGLT),budakko,K (MASC)/T (FEM),
buddeena,sid,buddeena,Noun,,,,,,,buddeena,K (MASC),
bude,sid,bude,Noun,,,,,,,bude,K (MASC) ; K (MASC),
budooma,sid,budooma,Noun,,,,custom-ABSTR,bud(e)-ooma,bud(e)-ooma (ABSTR),budooma,K (MASC),
LX000137,sid,buɗa,Noun,,,,,,,bu’ra,K (MASC),
LX000138,sid,bukiʧʧo,Noun,,,,dust-SGLT,buk(o)-iʧʧo,buk(o)-icco (SGLT),bukichcho,T (FEM),
bukkukkaama,sid,bukkukkaama,Noun,,,,,,,bukkukkaama,T (FEM),
buko,sid,buko,Noun,,,,,,,buko,T (FEM),
LX000139,sid,bukʼkʼe ʔass,Verb,,,,IDEO do,bukʼkʼe ʔass,,buqqe ass,COMP,
LX000140,sid,bukʼkʼisi,Verb,,,,IDEO-DER.CAUS-,bukʼkʼ(e)-is-,buKK(e)-is (DER.CAUS)-,buqqisi,CAUS,
bulaasi,sid,bulaasi,Verb,,,,,,,bulaasi,,
bulle,sid,bulle,Noun,,,,,,,bulle,T (FEM),
LX000141,sid,bulliʧʧa,Noun,,,,flour-SGLT,bukk(e)-iʧʧa,bull(e)-icca (SGLT),bullichcha,K (MASC),
LX000142,sid,bulliʧʧaama,Noun,,,,male.duiker-DER.FEM,bulliʧʧ(a)-aama,bullicc(a)-aama (DER.FEM),bullichchaama,T (FEM),
bulo,sid,bulo,Noun,,,,,,,bulo,T (FEM),
buluulo,sid,buluulo,Noun,,,,,,,buluulo,K (MASC),
buna,sid,buna,Noun,,,,,,,buna,K (MASC),
LX000143,sid,bunʃe,Noun,,,,bad-ABSTR,buʃ(a)-ne,buS(a)-ne (ABSTR),bunshe,T (FEM),
LX000144,sid,bunʧo,Noun,,,,coffee-SGLT,bun(a)-ʧo,bun(a)-co (SGLT),buncho,T (FEM),
LX000145,sid,burrakʼi,Verb,,,,,,,burraqi,,
LX000146,sid,burrakʼisi,Verb,,,,run.very.fast-CAUS,burrakʼ-is-,burraK-is (CAUS)-,burraqisi,CAUS,
burrisa,sid,burrisa,Noun,,,,,,,burrisa,K (MASC),
LX000147,sid,burriʧʧa,Noun,,,,,,,burrichcha,K (MASC),
buse,sid,buse,proper noun,,,,,,,buse,T (FEM),
busha,sid,busha,adjective,,,,,,,busha,,
